,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(22, 7)",42.0,59.0,50.0,43.0,43.0,47.0,55.0,52.0,37.0,8.0,3.0,9.0,9.0,4.0,9.0,15.0,15.0,16.0,12.0,12.0,25.0,23.0,17.0,21.0,21.0,13.0,19.0,23.0,14.0,25.0,19.0,19.0,17.0,23.0,16.0,21.0,13.0,22.0,21.0,17.0
"(22, 8)",54.0,84.0,97.0,95.0,69.0,88.0,83.0,68.0,56.0,21.0,5.0,9.0,4.0,2.0,7.0,11.0,9.0,7.0,9.0,12.0,12.0,5.0,10.0,17.0,11.0,19.0,8.0,9.0,12.0,13.0,8.0,11.0,11.0,14.0,24.0,28.0,24.0,10.0,30.0,21.0
"(22, 21)",29.0,29.0,35.0,36.0,29.0,15.0,31.0,24.0,17.0,17.0,12.0,5.0,7.0,5.0,6.0,10.0,8.0,11.0,7.0,10.0,12.0,7.0,7.0,4.0,15.0,11.0,11.0,9.0,8.0,10.0,12.0,11.0,9.0,10.0,12.0,11.0,5.0,6.0,14.0,13.0
"(22, 22)",193.0,212.0,211.0,201.0,211.0,255.0,267.0,228.0,197.0,66.0,68.0,61.0,47.0,36.0,33.0,60.0,73.0,68.0,59.0,66.0,88.0,74.0,50.0,83.0,82.0,78.0,77.0,60.0,50.0,94.0,75.0,73.0,54.0,99.0,57.0,74.0,87.0,70.0,108.0,82.0
"(22, 24)",102.0,91.0,118.0,97.0,99.0,114.0,100.0,88.0,96.0,25.0,15.0,21.0,19.0,15.0,15.0,19.0,18.0,14.0,14.0,23.0,26.0,18.0,14.0,10.0,24.0,17.0,12.0,16.0,20.0,25.0,20.0,16.0,21.0,21.0,24.0,18.0,32.0,18.0,26.0,25.0
"(22, 28)",39.0,40.0,39.0,35.0,43.0,41.0,43.0,41.0,38.0,12.0,5.0,6.0,3.0,1.0,2.0,8.0,4.0,1.0,5.0,7.0,5.0,4.0,10.0,6.0,4.0,4.0,10.0,10.0,14.0,8.0,11.0,7.0,11.0,12.0,7.0,12.0,12.0,13.0,20.0,18.0
"(23, 23)",26.0,38.0,40.0,38.0,36.0,34.0,50.0,40.0,41.0,21.0,16.0,19.0,17.0,14.0,18.0,29.0,14.0,16.0,24.0,17.0,20.0,15.0,10.0,5.0,12.0,17.0,16.0,23.0,28.0,21.0,11.0,14.0,15.0,20.0,22.0,22.0,23.0,28.0,22.0,15.0
"(24, 6)",47.0,44.0,48.0,65.0,74.0,57.0,70.0,67.0,47.0,13.0,7.0,5.0,6.0,5.0,4.0,5.0,7.0,7.0,7.0,12.0,13.0,15.0,6.0,11.0,10.0,13.0,15.0,18.0,15.0,10.0,21.0,18.0,13.0,12.0,15.0,15.0,24.0,10.0,17.0,13.0
"(24, 7)",85.0,87.0,81.0,75.0,56.0,90.0,84.0,92.0,71.0,22.0,9.0,8.0,7.0,5.0,6.0,3.0,4.0,4.0,5.0,10.0,20.0,11.0,10.0,15.0,14.0,5.0,16.0,17.0,13.0,19.0,18.0,19.0,22.0,20.0,14.0,19.0,28.0,22.0,20.0,20.0
"(24, 8)",401.0,394.0,376.0,385.0,490.0,522.0,452.0,469.0,387.0,81.0,35.0,37.0,25.0,34.0,15.0,25.0,34.0,25.0,28.0,30.0,59.0,50.0,40.0,44.0,62.0,66.0,45.0,53.0,49.0,78.0,63.0,62.0,68.0,71.0,68.0,72.0,58.0,61.0,67.0,68.0
"(24, 22)",125.0,105.0,125.0,112.0,113.0,137.0,144.0,122.0,98.0,30.0,12.0,23.0,13.0,9.0,9.0,12.0,15.0,21.0,17.0,22.0,25.0,25.0,18.0,21.0,20.0,20.0,16.0,12.0,26.0,27.0,26.0,21.0,21.0,27.0,26.0,21.0,28.0,26.0,27.0,15.0
"(24, 23)",47.0,63.0,69.0,67.0,58.0,72.0,76.0,48.0,42.0,28.0,9.0,10.0,3.0,5.0,8.0,10.0,9.0,9.0,18.0,18.0,21.0,11.0,14.0,9.0,11.0,16.0,7.0,20.0,22.0,17.0,16.0,6.0,11.0,13.0,16.0,15.0,9.0,15.0,11.0,13.0
"(24, 24)",759.0,665.0,728.0,729.0,783.0,751.0,825.0,725.0,664.0,209.0,96.0,126.0,102.0,95.0,87.0,135.0,142.0,115.0,103.0,122.0,158.0,137.0,132.0,136.0,137.0,153.0,139.0,123.0,121.0,128.0,132.0,102.0,122.0,136.0,148.0,131.0,135.0,132.0,163.0,137.0
"(24, 28)",180.0,188.0,170.0,213.0,245.0,215.0,228.0,216.0,192.0,38.0,21.0,17.0,17.0,9.0,13.0,20.0,24.0,16.0,20.0,15.0,30.0,21.0,22.0,27.0,31.0,26.0,26.0,34.0,31.0,39.0,30.0,26.0,33.0,36.0,33.0,31.0,35.0,52.0,34.0,48.0
"(24, 32)",149.0,153.0,183.0,172.0,190.0,165.0,166.0,163.0,160.0,49.0,9.0,9.0,6.0,6.0,3.0,2.0,7.0,2.0,6.0,3.0,10.0,10.0,8.0,15.0,15.0,16.0,15.0,7.0,28.0,21.0,16.0,20.0,10.0,16.0,20.0,17.0,12.0,19.0,12.0,26.0
"(24, 76)",45.0,45.0,55.0,59.0,62.0,67.0,57.0,46.0,39.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,6.0,3.0,2.0,5.0,5.0,2.0,8.0,6.0,3.0,5.0,1.0,5.0,7.0,9.0,2.0,4.0,8.0,9.0,6.0,6.0,9.0
"(25, 8)",11.0,16.0,23.0,14.0,13.0,18.0,22.0,19.0,17.0,14.0,12.0,8.0,9.0,2.0,3.0,7.0,15.0,14.0,14.0,14.0,8.0,12.0,16.0,16.0,21.0,11.0,18.0,16.0,19.0,17.0,14.0,14.0,17.0,20.0,20.0,17.0,24.0,21.0,14.0,26.0
"(25, 25)",41.0,47.0,54.0,44.0,49.0,63.0,51.0,35.0,62.0,29.0,29.0,42.0,35.0,16.0,25.0,32.0,45.0,32.0,42.0,29.0,36.0,19.0,25.0,28.0,39.0,26.0,16.0,19.0,24.0,25.0,21.0,33.0,26.0,40.0,26.0,42.0,32.0,56.0,41.0,25.0
"(25, 28)",34.0,47.0,44.0,39.0,42.0,45.0,36.0,42.0,42.0,30.0,8.0,3.0,13.0,7.0,12.0,17.0,16.0,14.0,23.0,18.0,14.0,13.0,11.0,9.0,12.0,15.0,15.0,15.0,17.0,11.0,19.0,16.0,18.0,20.0,18.0,23.0,22.0,18.0,29.0,19.0
"(27, 27)",48.0,43.0,43.0,42.0,63.0,50.0,50.0,50.0,31.0,27.0,14.0,20.0,15.0,6.0,8.0,16.0,15.0,13.0,10.0,8.0,21.0,12.0,16.0,12.0,12.0,5.0,5.0,15.0,13.0,18.0,26.0,15.0,22.0,20.0,16.0,9.0,9.0,18.0,16.0,12.0
"(27, 28)",24.0,18.0,21.0,27.0,34.0,22.0,25.0,24.0,28.0,13.0,7.0,12.0,12.0,7.0,8.0,12.0,12.0,12.0,3.0,13.0,26.0,15.0,9.0,11.0,18.0,22.0,15.0,22.0,15.0,18.0,21.0,16.0,20.0,25.0,22.0,17.0,20.0,27.0,26.0,18.0
"(28, 1)",32.0,35.0,29.0,47.0,41.0,41.0,44.0,61.0,39.0,12.0,5.0,4.0,1.0,5.0,4.0,3.0,6.0,5.0,2.0,8.0,8.0,6.0,10.0,8.0,7.0,19.0,9.0,6.0,12.0,4.0,10.0,10.0,12.0,14.0,6.0,16.0,9.0,19.0,13.0,16.0
"(28, 3)",117.0,109.0,97.0,135.0,140.0,119.0,133.0,131.0,110.0,39.0,15.0,13.0,6.0,7.0,6.0,8.0,9.0,8.0,8.0,11.0,21.0,14.0,26.0,25.0,29.0,22.0,34.0,22.0,23.0,28.0,32.0,26.0,25.0,27.0,24.0,32.0,37.0,31.0,25.0,41.0
"(28, 4)",50.0,56.0,62.0,54.0,67.0,58.0,44.0,53.0,48.0,11.0,4.0,4.0,3.0,2.0,1.0,1.0,6.0,5.0,7.0,7.0,8.0,8.0,7.0,6.0,11.0,8.0,7.0,12.0,10.0,16.0,9.0,8.0,9.0,11.0,16.0,15.0,9.0,20.0,18.0,11.0
"(28, 5)",89.0,89.0,112.0,101.0,93.0,103.0,121.0,125.0,81.0,10.0,5.0,2.0,6.0,0.0,1.0,4.0,7.0,4.0,6.0,6.0,4.0,13.0,11.0,9.0,10.0,8.0,10.0,7.0,8.0,10.0,17.0,8.0,16.0,17.0,14.0,6.0,4.0,21.0,16.0,7.0
"(28, 6)",460.0,471.0,449.0,441.0,537.0,527.0,511.0,569.0,420.0,69.0,17.0,8.0,12.0,7.0,11.0,6.0,18.0,20.0,26.0,32.0,42.0,43.0,47.0,46.0,61.0,54.0,51.0,57.0,57.0,47.0,71.0,44.0,67.0,73.0,55.0,71.0,79.0,55.0,51.0,61.0
"(28, 7)",604.0,577.0,641.0,666.0,708.0,691.0,704.0,742.0,559.0,59.0,27.0,28.0,21.0,22.0,14.0,23.0,24.0,31.0,32.0,32.0,33.0,42.0,46.0,52.0,52.0,63.0,41.0,62.0,62.0,47.0,60.0,66.0,71.0,55.0,58.0,69.0,71.0,68.0,72.0,60.0
"(28, 8)",8534.0,8372.0,8039.0,8604.0,9353.0,8975.0,9083.0,8639.0,6618.0,830.0,195.0,166.0,155.0,124.0,113.0,130.0,164.0,175.0,188.0,205.0,214.0,359.0,433.0,441.0,492.0,524.0,529.0,532.0,535.0,568.0,559.0,580.0,537.0,638.0,614.0,703.0,696.0,718.0,740.0,714.0
"(28, 14)",33.0,33.0,31.0,35.0,30.0,35.0,44.0,34.0,27.0,9.0,7.0,5.0,8.0,6.0,3.0,5.0,5.0,10.0,6.0,4.0,12.0,13.0,10.0,12.0,6.0,7.0,10.0,14.0,7.0,13.0,18.0,6.0,18.0,6.0,12.0,14.0,17.0,9.0,13.0,8.0
"(28, 16)",54.0,54.0,58.0,63.0,64.0,62.0,72.0,54.0,44.0,10.0,10.0,2.0,5.0,3.0,9.0,5.0,12.0,13.0,11.0,10.0,11.0,21.0,16.0,10.0,14.0,12.0,20.0,19.0,12.0,15.0,17.0,11.0,20.0,30.0,16.0,15.0,30.0,31.0,13.0,17.0
"(28, 21)",32.0,48.0,38.0,58.0,35.0,50.0,46.0,40.0,42.0,7.0,1.0,3.0,2.0,3.0,4.0,3.0,7.0,0.0,1.0,6.0,9.0,7.0,6.0,8.0,12.0,11.0,6.0,5.0,9.0,14.0,10.0,5.0,4.0,13.0,16.0,13.0,12.0,8.0,10.0,12.0
"(28, 22)",219.0,212.0,228.0,223.0,245.0,265.0,231.0,256.0,162.0,29.0,7.0,13.0,10.0,7.0,7.0,10.0,11.0,12.0,9.0,9.0,22.0,17.0,17.0,16.0,20.0,15.0,19.0,25.0,20.0,31.0,26.0,30.0,30.0,34.0,20.0,34.0,28.0,26.0,32.0,37.0
"(28, 23)",39.0,35.0,46.0,39.0,37.0,32.0,40.0,40.0,30.0,10.0,9.0,9.0,12.0,5.0,10.0,11.0,11.0,10.0,15.0,15.0,19.0,18.0,19.0,15.0,15.0,18.0,18.0,16.0,16.0,19.0,14.0,8.0,16.0,24.0,9.0,17.0,18.0,27.0,17.0,18.0
"(28, 24)",988.0,972.0,986.0,991.0,1163.0,1067.0,1046.0,1154.0,894.0,91.0,39.0,26.0,22.0,30.0,25.0,27.0,28.0,21.0,32.0,37.0,64.0,63.0,69.0,72.0,80.0,86.0,64.0,91.0,70.0,75.0,71.0,77.0,68.0,90.0,80.0,87.0,86.0,109.0,98.0,106.0
"(28, 25)",50.0,59.0,67.0,80.0,61.0,58.0,58.0,68.0,70.0,51.0,17.0,11.0,19.0,20.0,24.0,19.0,28.0,14.0,26.0,29.0,25.0,32.0,36.0,33.0,28.0,34.0,25.0,27.0,26.0,30.0,36.0,30.0,31.0,47.0,38.0,34.0,37.0,40.0,51.0,32.0
"(28, 27)",47.0,45.0,45.0,50.0,60.0,55.0,69.0,52.0,53.0,33.0,10.0,22.0,14.0,20.0,17.0,17.0,16.0,18.0,12.0,28.0,36.0,19.0,18.0,23.0,36.0,30.0,30.0,25.0,27.0,25.0,27.0,37.0,25.0,27.0,33.0,31.0,33.0,42.0,29.0,31.0
"(28, 28)",6275.0,5749.0,5744.0,6181.0,6860.0,6430.0,6688.0,6227.0,5131.0,1082.0,431.0,431.0,439.0,375.0,351.0,444.0,465.0,397.0,476.0,436.0,593.0,586.0,589.0,673.0,719.0,672.0,690.0,643.0,706.0,670.0,799.0,702.0,718.0,844.0,752.0,812.0,865.0,975.0,940.0,848.0
"(28, 29)",37.0,51.0,41.0,51.0,63.0,44.0,50.0,63.0,38.0,27.0,10.0,18.0,14.0,13.0,13.0,23.0,20.0,23.0,22.0,22.0,28.0,22.0,25.0,24.0,23.0,28.0,26.0,22.0,21.0,16.0,28.0,31.0,24.0,32.0,27.0,27.0,34.0,27.0,36.0,22.0
"(28, 31)",134.0,113.0,129.0,123.0,139.0,151.0,118.0,134.0,123.0,32.0,14.0,19.0,13.0,8.0,12.0,28.0,27.0,19.0,26.0,21.0,27.0,29.0,22.0,27.0,33.0,43.0,39.0,40.0,38.0,36.0,39.0,35.0,40.0,43.0,47.0,43.0,44.0,39.0,50.0,47.0
"(28, 32)",10006.0,9916.0,9351.0,9758.0,10793.0,9674.0,9949.0,9432.0,7634.0,1122.0,220.0,172.0,150.0,121.0,114.0,126.0,137.0,167.0,155.0,156.0,170.0,252.0,350.0,363.0,440.0,486.0,444.0,426.0,431.0,463.0,438.0,477.0,502.0,543.0,561.0,609.0,585.0,633.0,571.0,580.0
"(28, 33)",677.0,612.0,555.0,836.0,1269.0,1253.0,1184.0,690.0,458.0,115.0,39.0,33.0,31.0,23.0,22.0,24.0,26.0,30.0,41.0,31.0,43.0,40.0,44.0,50.0,78.0,78.0,69.0,72.0,74.0,77.0,94.0,77.0,113.0,106.0,97.0,98.0,85.0,108.0,93.0,91.0
"(28, 34)",80.0,61.0,59.0,59.0,78.0,79.0,68.0,73.0,45.0,17.0,5.0,4.0,1.0,7.0,3.0,4.0,4.0,5.0,2.0,8.0,10.0,13.0,11.0,10.0,7.0,6.0,5.0,11.0,15.0,19.0,8.0,11.0,9.0,20.0,14.0,13.0,13.0,9.0,15.0,16.0
"(28, 35)",71.0,73.0,80.0,85.0,89.0,80.0,74.0,77.0,59.0,35.0,20.0,21.0,17.0,15.0,17.0,16.0,19.0,16.0,15.0,22.0,28.0,34.0,15.0,36.0,28.0,32.0,28.0,29.0,38.0,26.0,41.0,33.0,29.0,42.0,34.0,29.0,32.0,45.0,43.0,37.0
"(28, 36)",17.0,15.0,15.0,14.0,20.0,19.0,15.0,12.0,24.0,11.0,7.0,1.0,3.0,6.0,8.0,4.0,11.0,9.0,10.0,13.0,10.0,11.0,15.0,12.0,14.0,7.0,16.0,13.0,8.0,13.0,18.0,18.0,15.0,15.0,19.0,9.0,14.0,16.0,14.0,10.0
"(28, 38)",39.0,38.0,49.0,56.0,51.0,55.0,49.0,47.0,33.0,27.0,15.0,13.0,21.0,11.0,18.0,19.0,14.0,23.0,25.0,23.0,28.0,24.0,29.0,33.0,29.0,19.0,32.0,23.0,26.0,29.0,24.0,33.0,38.0,33.0,32.0,31.0,37.0,34.0,25.0,23.0
"(28, 39)",47.0,46.0,45.0,39.0,68.0,45.0,55.0,38.0,39.0,24.0,7.0,11.0,15.0,9.0,12.0,13.0,12.0,12.0,15.0,12.0,27.0,20.0,17.0,16.0,21.0,21.0,19.0,17.0,28.0,22.0,38.0,29.0,30.0,33.0,26.0,35.0,31.0,24.0,24.0,23.0
"(28, 41)",105.0,119.0,96.0,91.0,98.0,115.0,112.0,108.0,94.0,28.0,12.0,18.0,14.0,12.0,10.0,17.0,8.0,14.0,11.0,19.0,12.0,21.0,25.0,13.0,24.0,21.0,24.0,34.0,23.0,36.0,37.0,34.0,32.0,30.0,33.0,41.0,44.0,39.0,26.0,35.0
"(28, 42)",34.0,17.0,27.0,28.0,32.0,19.0,38.0,44.0,22.0,13.0,3.0,5.0,8.0,6.0,4.0,7.0,9.0,9.0,13.0,4.0,12.0,9.0,11.0,13.0,7.0,14.0,19.0,15.0,13.0,8.0,19.0,16.0,16.0,14.0,21.0,18.0,23.0,18.0,29.0,23.0
"(28, 43)",39.0,48.0,46.0,57.0,46.0,44.0,62.0,59.0,56.0,27.0,20.0,17.0,24.0,24.0,23.0,23.0,30.0,26.0,17.0,30.0,27.0,27.0,24.0,32.0,29.0,24.0,24.0,24.0,35.0,33.0,35.0,35.0,40.0,37.0,57.0,49.0,41.0,47.0,51.0,54.0
"(28, 44)",44.0,43.0,46.0,50.0,50.0,45.0,64.0,60.0,42.0,29.0,18.0,14.0,15.0,9.0,10.0,12.0,20.0,9.0,9.0,11.0,14.0,10.0,17.0,12.0,9.0,15.0,17.0,22.0,13.0,15.0,18.0,19.0,19.0,24.0,24.0,30.0,21.0,29.0,37.0,40.0
"(28, 49)",33.0,33.0,35.0,31.0,37.0,37.0,48.0,38.0,27.0,11.0,10.0,10.0,5.0,13.0,11.0,6.0,10.0,7.0,11.0,5.0,10.0,11.0,13.0,16.0,14.0,5.0,2.0,4.0,7.0,11.0,12.0,10.0,15.0,16.0,11.0,8.0,29.0,12.0,12.0,11.0
"(28, 56)",114.0,100.0,128.0,116.0,107.0,119.0,111.0,121.0,74.0,19.0,6.0,7.0,1.0,0.0,3.0,2.0,5.0,5.0,13.0,8.0,9.0,13.0,17.0,12.0,10.0,10.0,16.0,13.0,11.0,15.0,15.0,18.0,16.0,11.0,11.0,16.0,15.0,23.0,13.0,18.0
"(28, 60)",52.0,53.0,56.0,48.0,52.0,51.0,66.0,58.0,35.0,13.0,7.0,4.0,4.0,3.0,8.0,10.0,8.0,8.0,6.0,9.0,12.0,11.0,14.0,8.0,14.0,8.0,16.0,10.0,9.0,15.0,13.0,12.0,16.0,13.0,15.0,20.0,22.0,21.0,25.0,20.0
"(28, 69)",30.0,29.0,34.0,35.0,28.0,41.0,37.0,43.0,43.0,27.0,12.0,18.0,10.0,11.0,10.0,16.0,18.0,11.0,13.0,12.0,18.0,15.0,5.0,7.0,15.0,16.0,10.0,12.0,17.0,17.0,23.0,17.0,18.0,18.0,20.0,16.0,18.0,12.0,22.0,18.0
"(28, 71)",30.0,29.0,33.0,26.0,29.0,25.0,43.0,32.0,22.0,20.0,13.0,12.0,10.0,8.0,8.0,10.0,12.0,17.0,12.0,16.0,14.0,25.0,33.0,24.0,29.0,12.0,18.0,21.0,15.0,18.0,20.0,18.0,21.0,19.0,32.0,28.0,34.0,25.0,35.0,30.0
"(28, 76)",414.0,342.0,373.0,444.0,436.0,397.0,495.0,428.0,214.0,36.0,17.0,9.0,3.0,4.0,2.0,5.0,10.0,10.0,6.0,10.0,21.0,11.0,10.0,17.0,12.0,21.0,23.0,15.0,20.0,19.0,21.0,29.0,15.0,27.0,16.0,28.0,21.0,32.0,27.0,22.0
"(28, 77)",53.0,78.0,67.0,68.0,83.0,71.0,80.0,82.0,67.0,17.0,13.0,11.0,9.0,9.0,11.0,15.0,17.0,23.0,29.0,22.0,22.0,30.0,26.0,28.0,35.0,36.0,28.0,33.0,38.0,35.0,39.0,33.0,35.0,26.0,25.0,21.0,36.0,34.0,35.0,31.0
"(29, 28)",14.0,21.0,25.0,20.0,32.0,21.0,26.0,32.0,22.0,14.0,7.0,9.0,6.0,4.0,5.0,15.0,8.0,11.0,10.0,19.0,12.0,12.0,10.0,8.0,7.0,11.0,11.0,10.0,8.0,12.0,14.0,18.0,19.0,13.0,12.0,14.0,12.0,14.0,14.0,7.0
"(29, 29)",21.0,20.0,28.0,19.0,18.0,35.0,27.0,36.0,25.0,17.0,16.0,19.0,13.0,9.0,7.0,16.0,13.0,13.0,13.0,5.0,17.0,10.0,11.0,8.0,9.0,16.0,8.0,9.0,8.0,8.0,11.0,10.0,13.0,13.0,16.0,12.0,14.0,17.0,12.0,21.0
"(31, 28)",29.0,38.0,37.0,31.0,20.0,26.0,28.0,24.0,32.0,10.0,4.0,7.0,7.0,7.0,4.0,16.0,20.0,6.0,14.0,10.0,11.0,13.0,9.0,11.0,18.0,20.0,18.0,25.0,23.0,11.0,15.0,26.0,15.0,18.0,21.0,13.0,18.0,12.0,17.0,21.0
"(31, 31)",36.0,37.0,31.0,38.0,58.0,45.0,67.0,50.0,41.0,12.0,9.0,9.0,7.0,9.0,7.0,6.0,12.0,12.0,11.0,18.0,24.0,10.0,12.0,19.0,10.0,14.0,17.0,13.0,17.0,10.0,19.0,22.0,19.0,19.0,23.0,15.0,18.0,16.0,21.0,24.0
"(32, 1)",63.0,57.0,67.0,81.0,68.0,83.0,86.0,94.0,91.0,27.0,9.0,11.0,6.0,7.0,6.0,5.0,4.0,8.0,4.0,10.0,12.0,13.0,6.0,6.0,11.0,16.0,5.0,11.0,15.0,8.0,16.0,17.0,10.0,17.0,15.0,11.0,18.0,23.0,14.0,20.0
"(32, 2)",55.0,54.0,55.0,60.0,53.0,63.0,68.0,63.0,56.0,14.0,4.0,6.0,6.0,6.0,6.0,3.0,9.0,4.0,4.0,4.0,7.0,6.0,4.0,9.0,7.0,13.0,5.0,6.0,12.0,9.0,9.0,10.0,10.0,12.0,8.0,12.0,11.0,9.0,13.0,8.0
"(32, 3)",422.0,394.0,420.0,409.0,468.0,423.0,452.0,421.0,385.0,84.0,30.0,25.0,19.0,19.0,16.0,13.0,18.0,21.0,29.0,24.0,30.0,44.0,16.0,30.0,28.0,47.0,35.0,46.0,43.0,49.0,43.0,43.0,55.0,47.0,37.0,56.0,52.0,61.0,54.0,50.0
"(32, 4)",138.0,130.0,155.0,129.0,165.0,178.0,188.0,190.0,168.0,19.0,1.0,3.0,5.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,7.0,7.0,3.0,5.0,7.0,5.0,6.0,9.0,3.0,7.0,5.0,12.0,5.0,8.0,2.0,8.0,10.0,6.0,8.0,7.0
"(32, 5)",283.0,311.0,338.0,285.0,286.0,305.0,322.0,321.0,268.0,51.0,2.0,3.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,4.0,8.0,9.0,9.0,11.0,5.0,6.0,17.0,11.0,10.0,9.0,13.0,3.0,12.0,7.0,5.0
"(32, 6)",1757.0,1738.0,1822.0,1901.0,2055.0,2121.0,2131.0,2133.0,1780.0,316.0,49.0,33.0,19.0,14.0,13.0,13.0,21.0,20.0,25.0,40.0,30.0,68.0,61.0,72.0,80.0,77.0,83.0,78.0,83.0,99.0,85.0,92.0,94.0,108.0,96.0,108.0,124.0,112.0,109.0,99.0
"(32, 7)",2427.0,2363.0,2450.0,2526.0,2717.0,2671.0,2827.0,2765.0,2499.0,340.0,50.0,37.0,36.0,25.0,24.0,21.0,20.0,28.0,37.0,27.0,47.0,64.0,64.0,70.0,67.0,106.0,88.0,83.0,82.0,95.0,78.0,89.0,80.0,100.0,96.0,92.0,135.0,124.0,118.0,120.0
"(32, 8)",22100.0,21269.0,21233.0,22594.0,25299.0,24166.0,23507.0,22765.0,17830.0,2687.0,413.0,309.0,260.0,203.0,232.0,223.0,225.0,239.0,267.0,240.0,311.0,584.0,669.0,777.0,900.0,957.0,1007.0,1018.0,1039.0,1099.0,921.0,1094.0,1079.0,1261.0,1134.0,1349.0,1365.0,1328.0,1290.0,1261.0
"(32, 14)",74.0,49.0,46.0,61.0,64.0,71.0,69.0,72.0,44.0,20.0,4.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,3.0,3.0,5.0,5.0,6.0,4.0,7.0,3.0,4.0,7.0,15.0,10.0,7.0,9.0,10.0,6.0,12.0,11.0,5.0
"(32, 15)",37.0,37.0,40.0,41.0,51.0,38.0,44.0,52.0,46.0,7.0,1.0,2.0,0.0,2.0,3.0,3.0,1.0,3.0,4.0,4.0,6.0,3.0,6.0,6.0,11.0,8.0,6.0,6.0,7.0,6.0,2.0,7.0,5.0,4.0,4.0,5.0,9.0,5.0,11.0,5.0
"(32, 16)",102.0,101.0,100.0,127.0,104.0,127.0,121.0,128.0,93.0,23.0,6.0,7.0,2.0,5.0,5.0,3.0,8.0,7.0,9.0,7.0,7.0,5.0,6.0,11.0,4.0,18.0,12.0,17.0,13.0,11.0,14.0,14.0,14.0,15.0,6.0,10.0,11.0,8.0,14.0,14.0
"(32, 21)",109.0,119.0,138.0,118.0,136.0,116.0,128.0,119.0,94.0,18.0,2.0,7.0,2.0,4.0,1.0,1.0,6.0,4.0,1.0,5.0,4.0,9.0,9.0,6.0,5.0,9.0,8.0,3.0,4.0,8.0,5.0,6.0,4.0,9.0,6.0,9.0,11.0,6.0,8.0,6.0
"(32, 22)",463.0,539.0,688.0,578.0,656.0,586.0,637.0,640.0,541.0,65.0,9.0,5.0,3.0,4.0,7.0,4.0,3.0,9.0,5.0,7.0,12.0,13.0,7.0,13.0,19.0,18.0,18.0,15.0,25.0,23.0,20.0,16.0,20.0,20.0,20.0,17.0,39.0,18.0,29.0,29.0
"(32, 23)",49.0,46.0,36.0,43.0,51.0,39.0,51.0,39.0,32.0,7.0,5.0,4.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,5.0,6.0,8.0,6.0,7.0,11.0,4.0,15.0,7.0,7.0,8.0,8.0,2.0,10.0,8.0,16.0,9.0,12.0
"(32, 24)",1934.0,1957.0,2230.0,2101.0,2285.0,2086.0,2308.0,2287.0,1962.0,302.0,33.0,14.0,10.0,11.0,12.0,11.0,24.0,19.0,25.0,14.0,34.0,48.0,35.0,67.0,58.0,63.0,77.0,54.0,79.0,85.0,57.0,84.0,64.0,100.0,73.0,83.0,90.0,88.0,109.0,80.0
"(32, 25)",31.0,28.0,37.0,38.0,40.0,32.0,37.0,47.0,36.0,21.0,11.0,11.0,10.0,14.0,10.0,12.0,12.0,10.0,13.0,15.0,9.0,11.0,17.0,19.0,19.0,20.0,15.0,14.0,20.0,17.0,11.0,17.0,18.0,18.0,18.0,19.0,28.0,19.0,18.0,19.0
"(32, 27)",33.0,34.0,20.0,49.0,61.0,41.0,52.0,47.0,38.0,15.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,4.0,2.0,8.0,8.0,9.0,4.0,11.0,9.0,11.0,9.0,11.0,5.0,8.0,9.0,5.0,16.0,7.0,14.0,8.0,14.0,18.0,15.0
"(32, 28)",12104.0,12021.0,12271.0,12826.0,13651.0,12666.0,13284.0,12886.0,10080.0,1541.0,247.0,172.0,111.0,125.0,129.0,143.0,148.0,165.0,168.0,154.0,172.0,239.0,315.0,361.0,374.0,450.0,438.0,402.0,421.0,452.0,501.0,502.0,495.0,594.0,500.0,605.0,596.0,606.0,635.0,564.0
"(32, 29)",37.0,31.0,30.0,27.0,39.0,41.0,37.0,38.0,28.0,17.0,2.0,3.0,7.0,4.0,5.0,10.0,4.0,4.0,5.0,3.0,6.0,3.0,5.0,5.0,5.0,6.0,7.0,9.0,8.0,7.0,7.0,9.0,8.0,10.0,17.0,6.0,7.0,8.0,7.0,5.0
"(32, 31)",176.0,196.0,188.0,204.0,263.0,214.0,231.0,204.0,194.0,32.0,12.0,4.0,8.0,3.0,5.0,5.0,5.0,2.0,5.0,5.0,8.0,6.0,8.0,6.0,10.0,5.0,7.0,13.0,13.0,9.0,6.0,7.0,7.0,11.0,13.0,14.0,12.0,25.0,12.0,23.0
