,week_56,week_57,week_58,week_59,week_60,week_61,week_62,week_63,week_64,week_65,week_66,week_67,week_68,week_69,week_70,week_71,week_72,week_73,week_74,week_75,week_76,week_77,week_78,week_79,week_80,week_81,week_82,week_83,week_84,week_85,week_86,week_87,week_88,week_89,week_90,week_91,week_92,week_93,week_94,week_95
"(8, 5)",253.0,263.0,275.0,235.0,293.0,283.0,316.0,292.0,189.0,19.0,1.0,7.0,2.0,7.0,4.0,4.0,7.0,7.0,14.0,7.0,14.0,16.0,25.0,21.0,23.0,21.0,32.0,22.0,26.0,22.0,29.0,30.0,30.0,44.0,36.0,39.0,43.0,29.0,33.0,36.0
"(8, 6)",2197.0,2009.0,2236.0,2188.0,2349.0,2337.0,2410.0,2395.0,2060.0,341.0,106.0,77.0,64.0,68.0,81.0,69.0,68.0,62.0,93.0,114.0,232.0,231.0,212.0,297.0,261.0,308.0,307.0,304.0,325.0,305.0,357.0,319.0,346.0,361.0,330.0,442.0,411.0,427.0,404.0,375.0
"(8, 7)",3281.0,3195.0,3329.0,3436.0,3550.0,3533.0,3727.0,3642.0,2993.0,408.0,111.0,103.0,76.0,84.0,84.0,103.0,91.0,94.0,115.0,127.0,212.0,272.0,236.0,293.0,330.0,354.0,306.0,340.0,333.0,329.0,347.0,369.0,383.0,414.0,359.0,465.0,528.0,463.0,454.0,399.0
"(8, 8)",29901.0,27292.0,27055.0,27517.0,33398.0,31474.0,29383.0,28015.0,24073.0,4327.0,1218.0,1045.0,894.0,801.0,821.0,876.0,1065.0,1117.0,1117.0,993.0,1330.0,1920.0,2123.0,2505.0,2676.0,2792.0,2844.0,2724.0,2905.0,2922.0,2549.0,3034.0,3026.0,3437.0,3003.0,3346.0,3347.0,3631.0,3601.0,3601.0
"(8, 14)",98.0,90.0,88.0,81.0,89.0,102.0,106.0,96.0,52.0,13.0,5.0,2.0,2.0,5.0,8.0,5.0,10.0,7.0,11.0,12.0,15.0,10.0,14.0,17.0,19.0,18.0,19.0,22.0,19.0,17.0,28.0,14.0,17.0,13.0,13.0,18.0,20.0,15.0,17.0,18.0
"(8, 15)",52.0,46.0,43.0,45.0,37.0,42.0,56.0,42.0,50.0,10.0,5.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,5.0,2.0,12.0,8.0,7.0,13.0,10.0,13.0,14.0,8.0,10.0,7.0,13.0,13.0,7.0,13.0,10.0,11.0,12.0,20.0,19.0,17.0
"(8, 16)",112.0,121.0,120.0,124.0,148.0,126.0,146.0,131.0,101.0,32.0,6.0,7.0,6.0,8.0,6.0,7.0,4.0,3.0,5.0,12.0,22.0,24.0,23.0,22.0,23.0,16.0,18.0,24.0,19.0,18.0,31.0,23.0,23.0,23.0,26.0,22.0,28.0,27.0,32.0,27.0
"(8, 21)",112.0,111.0,113.0,111.0,130.0,129.0,141.0,110.0,120.0,16.0,1.0,6.0,5.0,3.0,3.0,1.0,4.0,9.0,8.0,3.0,11.0,12.0,19.0,11.0,12.0,10.0,9.0,19.0,9.0,10.0,22.0,12.0,15.0,16.0,13.0,18.0,21.0,18.0,25.0,14.0
"(8, 22)",537.0,497.0,578.0,488.0,581.0,593.0,589.0,579.0,469.0,65.0,8.0,18.0,9.0,9.0,10.0,10.0,14.0,15.0,14.0,15.0,29.0,26.0,27.0,51.0,44.0,39.0,33.0,42.0,51.0,55.0,50.0,53.0,45.0,52.0,52.0,63.0,63.0,49.0,57.0,53.0
"(8, 23)",68.0,65.0,61.0,50.0,83.0,56.0,66.0,59.0,59.0,17.0,9.0,6.0,7.0,5.0,11.0,7.0,14.0,10.0,18.0,8.0,22.0,12.0,10.0,11.0,23.0,11.0,22.0,15.0,16.0,23.0,19.0,15.0,13.0,18.0,14.0,10.0,21.0,11.0,20.0,15.0
"(8, 24)",2223.0,2205.0,2296.0,2274.0,2697.0,2527.0,2574.0,2403.0,2035.0,252.0,54.0,54.0,37.0,53.0,28.0,53.0,55.0,60.0,69.0,78.0,124.0,122.0,135.0,154.0,161.0,201.0,175.0,180.0,182.0,191.0,208.0,209.0,190.0,233.0,210.0,272.0,221.0,253.0,266.0,247.0
"(8, 25)",46.0,48.0,50.0,44.0,34.0,50.0,48.0,51.0,40.0,22.0,12.0,18.0,10.0,5.0,4.0,9.0,12.0,10.0,15.0,10.0,15.0,20.0,21.0,19.0,20.0,18.0,24.0,23.0,24.0,28.0,19.0,23.0,27.0,26.0,20.0,20.0,25.0,25.0,35.0,37.0
"(8, 28)",8066.0,7604.0,7684.0,7910.0,9213.0,8541.0,8458.0,8244.0,6287.0,806.0,161.0,107.0,105.0,93.0,97.0,101.0,100.0,129.0,148.0,141.0,199.0,309.0,355.0,369.0,472.0,517.0,471.0,453.0,488.0,509.0,497.0,509.0,507.0,614.0,525.0,652.0,696.0,645.0,658.0,638.0
"(8, 31)",99.0,116.0,110.0,119.0,129.0,127.0,141.0,121.0,89.0,18.0,5.0,6.0,9.0,5.0,5.0,9.0,5.0,5.0,4.0,7.0,10.0,9.0,9.0,11.0,13.0,15.0,12.0,17.0,19.0,15.0,27.0,22.0,14.0,16.0,14.0,21.0,22.0,12.0,22.0,16.0
"(8, 32)",18406.0,16867.0,17125.0,17767.0,20559.0,19853.0,18564.0,17972.0,14500.0,2086.0,400.0,282.0,227.0,180.0,181.0,212.0,222.0,255.0,281.0,248.0,310.0,544.0,730.0,870.0,990.0,1164.0,1049.0,1086.0,1069.0,1123.0,1015.0,1232.0,1131.0,1345.0,1097.0,1320.0,1280.0,1252.0,1284.0,1302.0
