silhouette,davies_bouldin,calinski_harabasz,r2,smape
0.28724952916055724,1.2319553297184176,216.66253636903696,0.7807284596883686,37.949014790598866
0.28231831021802783,1.2869618113038503,247.91080088839962,0.7989035488341066,35.105148038635186
0.28724952916055724,1.2319553297184174,216.66253636903696,0.7807284596883686,37.949014790598866
0.28402458393709956,1.2884526945229333,248.1138941685343,0.7991473960940136,35.19427666578442
0.28724952916055724,1.2319553297184174,216.66253636903699,0.7807284596883686,37.949014790598866
0.2744348121542067,1.2827659745976874,246.53404137174851,0.7976008761584672,34.84564377694762
0.28724952916055724,1.2319553297184176,216.66253636903696,0.7807284596883686,37.949014790598866
0.30842877733669083,1.2811314585449431,250.12288856719323,0.8009924604011847,36.25757711409657
0.28724952916055724,1.2319553297184176,216.66253636903696,0.7807284596883686,37.949014790598866
0.2012927566112575,1.2689309417434744,228.01504455516616,0.7893923354587564,32.252809434769354
