silhouette_dtw,davies_bouldin,calinski_harabasz,r2,smape
0.2721684222516765,1.3157221303025854,225.38985059702313,0.7938680074229946,33.001508585787924
0.2735825035515061,1.3011451050026173,229.8990894848189,0.7940351594126909,32.99878799886215
0.2662000234348749,1.2917918779279287,224.14148451617794,0.7926030987961954,32.70401992547579
0.2978382890560826,1.550289325597067,208.60891235629785,0.7803065970195087,37.09914363874575
0.306839607580488,1.467055601185465,209.0918700168987,0.7804049668549657,37.22687987330569
0.33724158970296736,1.3034483257989398,245.22945058816038,0.7977235356545,35.248386643215284
0.356740927499848,1.326283419799063,208.19832540522862,0.7785388328259107,37.49763083267294
0.2721684222516765,1.3157221303025852,225.38985059702307,0.7938680074229946,33.001508585787924
0.2734375796876341,1.3056197330323958,228.34234468993304,0.7941682052793594,33.01292336706657
0.2721684222516765,1.3157221303025854,225.3898505970231,0.7938680074229946,33.001508585787924
