silhouette_dtw,davies_bouldin,calinski_harabasz,r2,smape
0.22046324360812677,2.444433347802472,23.804976980587067,0.33705354687855826,39.334914841444984
0.21699297815852356,2.4861110104426065,23.62726597427672,0.33634256014573294,39.345759464416766
0.2222454703677466,2.44874216071755,23.897196697057694,0.33781891003133835,39.32642233938458
0.2222454703677466,2.4487421607175492,23.897196697057694,0.3378189100313377,39.32642233938458
0.21741130419625626,2.492763929055327,23.555135096915546,0.3356941547824464,39.369673701914664
0.22452759505354236,2.4498557706720803,24.342585333757853,0.33797093203912193,39.34949000614186
0.2214691476455983,2.512443062208297,24.207495604868416,0.33619947518397325,39.38811002566641
0.2222454703677466,2.44874216071755,23.897196697057694,0.33781891003133757,39.32642233938458
0.2222454703677466,2.4487421607175492,23.897196697057694,0.3378189100313376,39.32642233938458
0.21872204415977345,2.4880535615976975,23.717312861157776,0.3371038855203836,39.33734804335813
