silhouette,davies_bouldin,calinski_harabasz,r2,smape
0.7057170356632295,1.5174427265949044,52.807056533708035,0.2451279323272346,41.477752692256345
0.7216595978335187,1.8068194066968664,42.085353577168085,0.23983300449657727,41.44691684231121
0.7035449084497429,1.7240536405486802,49.89873508720262,0.2479301088552661,41.48066538383791
0.6412540476160059,1.9610209626685713,45.56227817409121,0.24757095936412216,41.095656820765825
0.7057170356632295,1.5174427265949044,52.807056533708035,0.2451279323272346,41.477752692256345
0.7057170356632295,1.5174427265949044,52.807056533708035,0.2451279323272346,41.477752692256345
0.7015002834716073,1.5651447924330533,52.31842540515159,0.24782121976129792,41.337690959929716
0.7067270141388481,1.624605354695376,51.27404430683467,0.24430860393950007,41.5709919960259
0.19721395402511047,2.0382231875502645,38.58777994785216,0.3358664079082925,39.382770879298974
0.12584625792938103,2.157170842505026,39.51687637055759,0.31161097425382694,39.66124471502344
